Request Year:,2019
Test:,187
Test Description:,
TestRegime Name:,FirstCell dQdV C/25
TestRegime Suffix:,HWL
TestRegime CellSize:,Default cellsize
TestRegime Version:,1
Project Group Name:,Immediate
Project Group Description:,Immediate
Project Group Memo:,
Project Group Storage Environment:,R.T./AMB
Project Group Test Environment:,R.T./AMB
Number Of Cells:,1
Parameter names:,
Parameter values:,
Variable names:
LotID:,
Lot Description:,
Date Made:,1/21/2003 0:00
Origin:,Other
Requestor:,Admin
Product ID:,Default product
Storage Temp:,R.T./AMB
Storage Delay:,0 days
Test Temp:,R.T./AMB
Start Time:,02/22/2019 16:21:35
End Time:,1/1/0001 0:00
Operator Instructions:,Also connect cell temp to channel TC-K and ambient temp to NTC
#RESULTS CHECK
ReqYear,Test,CellNr,Type,Value,Reason,
2019,187,1,1,3272,3,
#END RESULTS CHECK
Test,Cell,Rack,Shelf,Position,Cell ID,Step,Cycle,Total Time (Seconds),Load On Time (Seconds),Step Time (Seconds),Cycle Charge Time (Seconds),Cycle Discharge Time (Seconds),Real Time,Position Start Time,Voltage (mV),Current (mA),Charge Capacity (mAh),Discharge Capacity (mAh),Charge Capacity (mWh),Discharge Capacity (mWh),ReasonCode,50% DoD (mV),PeakPower 1 (W),PeakPower 2 (W),Open Circuit Voltage 1 (V),Open Circuit Voltage 2 (V),Internal Resistance 1 (mOhm),Internal Resistance 2 (mOhm),Ambient temperature (°C),Cell surface temperature (°C),DC Internal Resistance (mOhm),AC Internal Resistance (mOhm),Station Temperature (°C),
187,1,SBT0550,001,1,,8,2,280770.183,275340,54917.406,54917,0,02/25/2019 22:22:56,02/22/2019 16:23:26,3334.6194,1640,25016.984,0,81927.576,0,30,0,0,0,0,0,0,0,26.57,26.1,,,,
187,1,SBT0550,001,1,,8,2,280790.183,275360,54937.406,54937,0,02/25/2019 22:23:16,02/22/2019 16:23:26,3334.8478,1639.7,25026.095,0,81957.958,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,280810.183,275380,54957.406,54957,0,02/25/2019 22:23:36,02/22/2019 16:23:26,3334.691,1640,25035.206,0,81988.34,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,280830.183,275400,54977.406,54977,0,02/25/2019 22:23:56,02/22/2019 16:23:26,3334.762,1639.8,25044.316,0,82018.723,0,30,0,0,0,0,0,0,0,26.58,26,,,,
187,1,SBT0550,001,1,,8,2,280850.183,275420,54997.406,54997,0,02/25/2019 22:24:16,02/22/2019 16:23:26,3334.3926,1639.6,25053.427,0,82049.105,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,280870.183,275440,55017.406,55017,0,02/25/2019 22:24:36,02/22/2019 16:23:26,3334.7228,1640.1,25062.538,0,82079.487,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,280890.183,275460,55037.406,55037,0,02/25/2019 22:24:56,02/22/2019 16:23:26,3334.8378,1640,25071.649,0,82109.869,0,30,0,0,0,0,0,0,0,26.57,26.1,,,,
187,1,SBT0550,001,1,,8,2,280910.183,275480,55057.406,55057,0,02/25/2019 22:25:16,02/22/2019 16:23:26,3334.8526,1640.1,25080.76,0,82140.252,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,280930.183,275500,55077.406,55077,0,02/25/2019 22:25:36,02/22/2019 16:23:26,3334.8326,1639.6,25089.87,0,82170.635,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,280950.183,275520,55097.406,55097,0,02/25/2019 22:25:56,02/22/2019 16:23:26,3334.8322,1639.8,25098.981,0,82201.019,0,30,0,0,0,0,0,0,0,26.57,26.1,,,,
187,1,SBT0550,001,1,,8,2,280970.183,275540,55117.406,55117,0,02/25/2019 22:26:16,02/22/2019 16:23:26,3335.0452,1640,25108.092,0,82231.403,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,280990.183,275560,55137.406,55137,0,02/25/2019 22:26:36,02/22/2019 16:23:26,3334.8872,1640,25117.203,0,82261.788,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281010.183,275580,55157.406,55157,0,02/25/2019 22:26:56,02/22/2019 16:23:26,3334.8526,1639.9,25126.314,0,82292.174,0,30,0,0,0,0,0,0,0,26.57,26.1,,,,
187,1,SBT0550,001,1,,8,2,281030.183,275600,55177.406,55177,0,02/25/2019 22:27:16,02/22/2019 16:23:26,3335.0674,1639.9,25135.425,0,82322.558,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281050.183,275620,55197.406,55197,0,02/25/2019 22:27:36,02/22/2019 16:23:26,3334.957,1639.9,25144.536,0,82352.943,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281070.183,275640,55217.406,55217,0,02/25/2019 22:27:56,02/22/2019 16:23:26,3334.844,1639.7,25153.646,0,82383.326,0,30,0,0,0,0,0,0,0,26.57,26,,,,
187,1,SBT0550,001,1,,8,2,281090.183,275660,55237.406,55237,0,02/25/2019 22:28:16,02/22/2019 16:23:26,3334.945,1640.1,25162.757,0,82413.71,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281110.183,275680,55257.406,55257,0,02/25/2019 22:28:36,02/22/2019 16:23:26,3335.0194,1640,25171.868,0,82444.094,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281130.183,275700,55277.406,55277,0,02/25/2019 22:28:56,02/22/2019 16:23:26,3334.8642,1639.8,25180.979,0,82474.479,0,30,0,0,0,0,0,0,0,26.57,26.1,,,,
187,1,SBT0550,001,1,,8,2,281150.183,275720,55297.406,55297,0,02/25/2019 22:29:16,02/22/2019 16:23:26,3334.7858,1640.1,25190.09,0,82504.864,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281170.183,275740,55317.406,55317,0,02/25/2019 22:29:36,02/22/2019 16:23:26,3335.0844,1639.8,25199.2,0,82535.248,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281190.183,275760,55337.406,55337,0,02/25/2019 22:29:56,02/22/2019 16:23:26,3335.01,1639.9,25208.311,0,82565.633,0,30,0,0,0,0,0,0,0,26.57,26.1,,,,
187,1,SBT0550,001,1,,8,2,281210.183,275780,55357.406,55357,0,02/25/2019 22:30:16,02/22/2019 16:23:26,3335.1428,1640,25217.422,0,82596.017,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281230.183,275800,55377.406,55377,0,02/25/2019 22:30:36,02/22/2019 16:23:26,3334.9616,1639.8,25226.533,0,82626.402,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281250.183,275820,55397.406,55397,0,02/25/2019 22:30:56,02/22/2019 16:23:26,3335.4204,1639.9,25235.643,0,82656.788,0,30,0,0,0,0,0,0,0,26.56,26,,,,
187,1,SBT0550,001,1,,8,2,281270.183,275840,55417.406,55417,0,02/25/2019 22:31:16,02/22/2019 16:23:26,3335.3048,1639.9,25244.754,0,82687.174,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281290.183,275860,55437.406,55437,0,02/25/2019 22:31:36,02/22/2019 16:23:26,3335.213,1639.8,25253.865,0,82717.56,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281310.183,275880,55457.406,55457,0,02/25/2019 22:31:56,02/22/2019 16:23:26,3335.0904,1639.9,25262.976,0,82747.945,0,30,0,0,0,0,0,0,0,26.57,26,,,,
187,1,SBT0550,001,1,,8,2,281330.183,275900,55477.406,55477,0,02/25/2019 22:32:16,02/22/2019 16:23:26,3335.2078,1640,25272.086,0,82778.33,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281350.183,275920,55497.406,55497,0,02/25/2019 22:32:36,02/22/2019 16:23:26,3335.1516,1640.1,25281.197,0,82808.716,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281370.183,275940,55517.406,55517,0,02/25/2019 22:32:56,02/22/2019 16:23:26,3335.07,1639.8,25290.308,0,82839.101,0,30,0,0,0,0,0,0,0,26.56,26,,,,
187,1,SBT0550,001,1,,8,2,281390.183,275960,55537.406,55537,0,02/25/2019 22:33:16,02/22/2019 16:23:26,3334.9374,1639.7,25299.419,0,82869.486,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281410.183,275980,55557.406,55557,0,02/25/2019 22:33:36,02/22/2019 16:23:26,3335.1408,1640,25308.53,0,82899.871,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281430.183,276000,55577.406,55577,0,02/25/2019 22:33:56,02/22/2019 16:23:26,3335.1108,1640,25317.641,0,82930.257,0,30,0,0,0,0,0,0,0,26.56,26,,,,
187,1,SBT0550,001,1,,8,2,281450.183,276020,55597.406,55597,0,02/25/2019 22:34:16,02/22/2019 16:23:26,3335.1298,1640.1,25326.751,0,82960.642,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281470.183,276040,55617.406,55617,0,02/25/2019 22:34:36,02/22/2019 16:23:26,3335.1436,1639.8,25335.862,0,82991.028,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281490.183,276060,55637.406,55637,0,02/25/2019 22:34:56,02/22/2019 16:23:26,3335.1908,1639.9,25344.973,0,83021.414,0,30,0,0,0,0,0,0,0,26.57,26,,,,
187,1,SBT0550,001,1,,8,2,281510.183,276080,55657.406,55657,0,02/25/2019 22:35:16,02/22/2019 16:23:26,3334.909,1639.9,25354.084,0,83051.799,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281530.183,276100,55677.406,55677,0,02/25/2019 22:35:36,02/22/2019 16:23:26,3335.1868,1639.9,25363.194,0,83082.185,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281550.183,276120,55697.406,55697,0,02/25/2019 22:35:56,02/22/2019 16:23:26,3334.9998,1639.8,25372.305,0,83112.571,0,30,0,0,0,0,0,0,0,26.56,26,,,,
187,1,SBT0550,001,1,,8,2,281570.183,276140,55717.406,55717,0,02/25/2019 22:36:16,02/22/2019 16:23:26,3335.3528,1639.8,25381.416,0,83142.956,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281590.183,276160,55737.406,55737,0,02/25/2019 22:36:36,02/22/2019 16:23:26,3334.953,1639.8,25390.526,0,83173.342,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281610.183,276180,55757.406,55757,0,02/25/2019 22:36:56,02/22/2019 16:23:26,3335.2758,1639.9,25399.637,0,83203.729,0,30,0,0,0,0,0,0,0,26.56,26,,,,
187,1,SBT0550,001,1,,8,2,281630.183,276200,55777.406,55777,0,02/25/2019 22:37:16,02/22/2019 16:23:26,3335.687,1639.9,25408.748,0,83234.118,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281650.183,276220,55797.406,55797,0,02/25/2019 22:37:36,02/22/2019 16:23:26,3335.4658,1639.9,25417.859,0,83264.505,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281670.183,276240,55817.406,55817,0,02/25/2019 22:37:56,02/22/2019 16:23:26,3335.1466,1639.8,25426.969,0,83294.893,0,30,0,0,0,0,0,0,0,26.56,26,,,,
187,1,SBT0550,001,1,,8,2,281690.183,276260,55837.406,55837,0,02/25/2019 22:38:16,02/22/2019 16:23:26,3335.4174,1639.9,25436.08,0,83325.28,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281710.183,276280,55857.406,55857,0,02/25/2019 22:38:36,02/22/2019 16:23:26,3335.334,1639.8,25445.191,0,83355.668,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281730.183,276300,55877.406,55877,0,02/25/2019 22:38:56,02/22/2019 16:23:26,3335.5762,1639.7,25454.302,0,83386.057,0,30,0,0,0,0,0,0,0,26.56,26.1,,,,
187,1,SBT0550,001,1,,8,2,281750.183,276320,55897.406,55897,0,02/25/2019 22:39:16,02/22/2019 16:23:26,3335.6416,1640.1,25463.412,0,83416.446,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281770.183,276340,55917.406,55917,0,02/25/2019 22:39:36,02/22/2019 16:23:26,3335.5678,1639.9,25472.523,0,83446.834,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281790.183,276360,55937.406,55937,0,02/25/2019 22:39:56,02/22/2019 16:23:26,3335.555,1640.2,25481.634,0,83477.222,0,30,0,0,0,0,0,0,0,26.57,26.1,,,,
187,1,SBT0550,001,1,,8,2,281810.183,276380,55957.406,55957,0,02/25/2019 22:40:16,02/22/2019 16:23:26,3335.2786,1639.8,25490.745,0,83507.61,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281830.183,276400,55977.406,55977,0,02/25/2019 22:40:36,02/22/2019 16:23:26,3335.2316,1639.9,25499.855,0,83537.997,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281850.183,276420,55997.406,55997,0,02/25/2019 22:40:56,02/22/2019 16:23:26,3335.3484,1640,25508.966,0,83568.385,0,30,0,0,0,0,0,0,0,26.56,26.1,,,,
187,1,SBT0550,001,1,,8,2,281870.183,276440,56017.406,56017,0,02/25/2019 22:41:16,02/22/2019 16:23:26,3335.4814,1639.9,25518.077,0,83598.773,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281890.183,276460,56037.406,56037,0,02/25/2019 22:41:36,02/22/2019 16:23:26,3335.3898,1640.1,25527.188,0,83629.161,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281910.183,276480,56057.406,56057,0,02/25/2019 22:41:56,02/22/2019 16:23:26,3335.3474,1640.1,25536.298,0,83659.549,0,30,0,0,0,0,0,0,0,26.56,26,,,,
187,1,SBT0550,001,1,,8,2,281930.183,276500,56077.406,56077,0,02/25/2019 22:42:16,02/22/2019 16:23:26,3335.4612,1640.2,25545.409,0,83689.938,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281950.183,276520,56097.406,56097,0,02/25/2019 22:42:36,02/22/2019 16:23:26,3335.5052,1640,25554.52,0,83720.327,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,281970.183,276540,56117.406,56117,0,02/25/2019 22:42:56,02/22/2019 16:23:26,3335.6452,1640.1,25563.631,0,83750.718,0,30,0,0,0,0,0,0,0,26.56,26,,,,
187,1,SBT0550,001,1,,8,2,281990.183,276560,56137.406,56137,0,02/25/2019 22:43:16,02/22/2019 16:23:26,3335.509,1640.3,25572.742,0,83781.109,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282010.183,276580,56157.406,56157,0,02/25/2019 22:43:36,02/22/2019 16:23:26,3335.4394,1640,25581.853,0,83811.498,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282030.183,276600,56177.406,56177,0,02/25/2019 22:43:56,02/22/2019 16:23:26,3335.4356,1640.2,25590.964,0,83841.888,0,30,0,0,0,0,0,0,0,26.56,25.9,,,,
187,1,SBT0550,001,1,,8,2,282050.183,276620,56197.406,56197,0,02/25/2019 22:44:16,02/22/2019 16:23:26,3335.5544,1640,25600.075,0,83872.278,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282070.183,276640,56217.406,56217,0,02/25/2019 22:44:36,02/22/2019 16:23:26,3335.726,1640.1,25609.186,0,83902.668,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282090.183,276660,56237.406,56237,0,02/25/2019 22:44:56,02/22/2019 16:23:26,3335.6412,1639.9,25618.296,0,83933.059,0,30,0,0,0,0,0,0,0,26.56,26,,,,
187,1,SBT0550,001,1,,8,2,282110.183,276680,56257.406,56257,0,02/25/2019 22:45:16,02/22/2019 16:23:26,3335.6704,1639.9,25627.407,0,83963.45,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282130.183,276700,56277.406,56277,0,02/25/2019 22:45:36,02/22/2019 16:23:26,3335.8754,1640.1,25636.518,0,83993.842,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282150.183,276720,56297.406,56297,0,02/25/2019 22:45:56,02/22/2019 16:23:26,3335.9942,1640.1,25645.629,0,84024.233,0,30,0,0,0,0,0,0,0,26.55,26.1,,,,
187,1,SBT0550,001,1,,8,2,282170.183,276740,56317.406,56317,0,02/25/2019 22:46:16,02/22/2019 16:23:26,3335.8218,1640,25654.74,0,84054.625,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282190.183,276760,56337.406,56337,0,02/25/2019 22:46:36,02/22/2019 16:23:26,3335.6956,1640.1,25663.851,0,84085.016,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282210.183,276780,56357.406,56357,0,02/25/2019 22:46:56,02/22/2019 16:23:26,3335.7702,1640.3,25672.961,0,84115.408,0,30,0,0,0,0,0,0,0,26.57,26,,,,
187,1,SBT0550,001,1,,8,2,282230.183,276800,56377.406,56377,0,02/25/2019 22:47:16,02/22/2019 16:23:26,3335.5812,1640.1,25682.072,0,84145.799,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282250.183,276820,56397.406,56397,0,02/25/2019 22:47:36,02/22/2019 16:23:26,3335.9162,1639.9,25691.183,0,84176.19,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282270.183,276840,56417.406,56417,0,02/25/2019 22:47:56,02/22/2019 16:23:26,3335.744,1640.1,25700.294,0,84206.581,0,30,0,0,0,0,0,0,0,26.56,26,,,,
187,1,SBT0550,001,1,,8,2,282290.183,276860,56437.406,56437,0,02/25/2019 22:48:16,02/22/2019 16:23:26,3335.7722,1639.9,25709.404,0,84236.974,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282310.183,276880,56457.406,56457,0,02/25/2019 22:48:36,02/22/2019 16:23:26,3336.0336,1639.8,25718.515,0,84267.366,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282330.183,276900,56477.406,56477,0,02/25/2019 22:48:56,02/22/2019 16:23:26,3336.0104,1639.8,25727.626,0,84297.759,0,30,0,0,0,0,0,0,0,26.56,26,,,,
187,1,SBT0550,001,1,,8,2,282350.183,276920,56497.406,56497,0,02/25/2019 22:49:16,02/22/2019 16:23:26,3335.9086,1640.1,25736.737,0,84328.152,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282370.183,276940,56517.406,56517,0,02/25/2019 22:49:36,02/22/2019 16:23:26,3336.0924,1639.8,25745.848,0,84358.546,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282390.183,276960,56537.406,56537,0,02/25/2019 22:49:56,02/22/2019 16:23:26,3335.9314,1640,25754.959,0,84388.939,0,30,0,0,0,0,0,0,0,26.55,26,,,,
187,1,SBT0550,001,1,,8,2,282410.183,276980,56557.406,56557,0,02/25/2019 22:50:16,02/22/2019 16:23:26,3335.9442,1640.1,25764.069,0,84419.331,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282430.183,277000,56577.406,56577,0,02/25/2019 22:50:36,02/22/2019 16:23:26,3335.8154,1639.8,25773.18,0,84449.722,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282450.183,277020,56597.406,56597,0,02/25/2019 22:50:56,02/22/2019 16:23:26,3335.8326,1640.1,25782.291,0,84480.113,0,30,0,0,0,0,0,0,0,26.55,26.1,,,,
187,1,SBT0550,001,1,,8,2,282470.183,277040,56617.406,56617,0,02/25/2019 22:51:16,02/22/2019 16:23:26,3335.7106,1639.8,25791.402,0,84510.505,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282490.183,277060,56637.406,56637,0,02/25/2019 22:51:36,02/22/2019 16:23:26,3335.8856,1640,25800.512,0,84540.897,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282510.183,277080,56657.406,56657,0,02/25/2019 22:51:56,02/22/2019 16:23:26,3335.546,1640,25809.623,0,84571.288,0,30,0,0,0,0,0,0,0,26.56,26,,,,
187,1,SBT0550,001,1,,8,2,282530.183,277100,56677.406,56677,0,02/25/2019 22:52:16,02/22/2019 16:23:26,3335.8904,1639.9,25818.734,0,84601.68,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282550.183,277120,56697.406,56697,0,02/25/2019 22:52:36,02/22/2019 16:23:26,3336.2726,1640,25827.845,0,84632.074,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282570.183,277140,56717.406,56717,0,02/25/2019 22:52:56,02/22/2019 16:23:26,3336.0498,1640,25836.956,0,84662.467,0,30,0,0,0,0,0,0,0,26.55,26,,,,
187,1,SBT0550,001,1,,8,2,282590.183,277160,56737.406,56737,0,02/25/2019 22:53:16,02/22/2019 16:23:26,3336.1582,1640,25846.066,0,84692.861,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282610.183,277180,56757.406,56757,0,02/25/2019 22:53:36,02/22/2019 16:23:26,3335.8236,1640,25855.177,0,84723.254,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282630.183,277200,56777.406,56777,0,02/25/2019 22:53:56,02/22/2019 16:23:26,3336.1114,1640,25864.288,0,84753.647,0,30,0,0,0,0,0,0,0,26.56,25.9,,,,
187,1,SBT0550,001,1,,8,2,282650.183,277220,56797.406,56797,0,02/25/2019 22:54:16,02/22/2019 16:23:26,3336.08,1639.5,25873.399,0,84784.041,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282670.183,277240,56817.406,56817,0,02/25/2019 22:54:36,02/22/2019 16:23:26,3335.9436,1639.8,25882.509,0,84814.434,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282690.183,277260,56837.406,56837,0,02/25/2019 22:54:56,02/22/2019 16:23:26,3335.9194,1640.1,25891.62,0,84844.828,0,30,0,0,0,0,0,0,0,26.55,26.1,,,,
187,1,SBT0550,001,1,,8,2,282710.183,277280,56857.406,56857,0,02/25/2019 22:55:16,02/22/2019 16:23:26,3336.1126,1640,25900.731,0,84875.222,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282730.183,277300,56877.406,56877,0,02/25/2019 22:55:36,02/22/2019 16:23:26,3336.024,1639.9,25909.842,0,84905.617,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282750.183,277320,56897.406,56897,0,02/25/2019 22:55:56,02/22/2019 16:23:26,3335.9386,1639.8,25918.952,0,84936.01,0,30,0,0,0,0,0,0,0,26.55,26,,,,
187,1,SBT0550,001,1,,8,2,282770.183,277340,56917.406,56917,0,02/25/2019 22:56:16,02/22/2019 16:23:26,3336.0484,1639.8,25928.063,0,84966.403,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282790.183,277360,56937.406,56937,0,02/25/2019 22:56:36,02/22/2019 16:23:26,3336.165,1640,25937.174,0,84996.798,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282810.183,277380,56957.406,56957,0,02/25/2019 22:56:56,02/22/2019 16:23:26,3336.1568,1639.8,25946.285,0,85027.192,0,30,0,0,0,0,0,0,0,26.55,26.1,,,,
187,1,SBT0550,001,1,,8,2,282830.183,277400,56977.406,56977,0,02/25/2019 22:57:16,02/22/2019 16:23:26,3336.2718,1639.8,25955.396,0,85057.586,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282850.183,277420,56997.406,56997,0,02/25/2019 22:57:36,02/22/2019 16:23:26,3336.0158,1640.1,25964.507,0,85087.98,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282870.183,277440,57017.406,57017,0,02/25/2019 22:57:56,02/22/2019 16:23:26,3336.1788,1639.8,25973.617,0,85118.375,0,30,0,0,0,0,0,0,0,26.56,26.1,,,,
187,1,SBT0550,001,1,,8,2,282890.183,277460,57037.406,57037,0,02/25/2019 22:58:16,02/22/2019 16:23:26,3336.4442,1640,25982.728,0,85148.77,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282910.183,277480,57057.406,57057,0,02/25/2019 22:58:36,02/22/2019 16:23:26,3336.4034,1640.1,25991.839,0,85179.166,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282930.183,277500,57077.406,57077,0,02/25/2019 22:58:56,02/22/2019 16:23:26,3336.325,1640,26000.949,0,85209.562,0,30,0,0,0,0,0,0,0,26.55,26,,,,
187,1,SBT0550,001,1,,8,2,282950.183,277520,57097.406,57097,0,02/25/2019 22:59:16,02/22/2019 16:23:26,3336.1202,1640.2,26010.06,0,85239.958,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282970.183,277540,57117.406,57117,0,02/25/2019 22:59:36,02/22/2019 16:23:26,3336.2206,1639.8,26019.171,0,85270.353,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,282990.183,277560,57137.406,57137,0,02/25/2019 22:59:56,02/22/2019 16:23:26,3336.1434,1640.1,26028.282,0,85300.748,0,30,0,0,0,0,0,0,0,26.55,26,,,,
187,1,SBT0550,001,1,,8,2,283010.183,277580,57157.406,57157,0,02/25/2019 23:00:16,02/22/2019 16:23:26,3336.303,1639.9,26037.393,0,85331.144,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283030.183,277600,57177.406,57177,0,02/25/2019 23:00:36,02/22/2019 16:23:26,3336.4464,1640.1,26046.503,0,85361.54,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283050.183,277620,57197.406,57197,0,02/25/2019 23:00:56,02/22/2019 16:23:26,3336.3258,1639.9,26055.614,0,85391.936,0,30,0,0,0,0,0,0,0,26.55,26.1,,,,
187,1,SBT0550,001,1,,8,2,283070.183,277640,57217.406,57217,0,02/25/2019 23:01:16,02/22/2019 16:23:26,3336.3114,1639.8,26064.725,0,85422.332,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283090.183,277660,57237.406,57237,0,02/25/2019 23:01:36,02/22/2019 16:23:26,3336.2272,1639.9,26073.836,0,85452.727,0,2,0,0,0,0,0,0,0,,,,,,
187,1,SBT0550,001,1,,8,2,283110.183,277680,57257.406,57257,0,02/25/2019 23:01:56,02/22/2019 16:23:26,3336.1492,1640.3,26082.946,0,85483.124,0,30,0,0,0,0,0,0,0,26.55,26,,,,
187,1,SBT0550,001,1,,8,2,283130.183,277700,57277.406,57277,0,02/25/2019 23:02:16,02/22/2019 16:23:26,3336.2774,1639.9,26092.057,0,85513.52,0,2,0,0,0,0,0,0,0,,,,,,
